semestre;sexo;alumno;asignatura;tipo;ep1;ep2;ea;pf;estado
1;2;1712820125;ATSH201;1;12;12;0;12;A
1;2;1712820126;ATSH201;1;5;5;0;5;A
1;2;1712820127;ATSH201;1;8;8;0;8;A
1;2;1712820128;ATSH201;1;12;12;0;12;A
1;2;1712820129;ATSH201;1;0;0;0;0;A
1;1;1712820130;ATSH201;1;0;0;0;0;A
1;2;1712820101;ATSH202;1;12;12;0;12;A
1;2;1712820102;ATSH202;1;11;11;0;11;A
1;2;1712820103;ATSH202;1;17;17;0;17;A
1;2;1712820104;ATSH202;1;12;12;0;12;A
1;2;1712820105;ATSH202;1;16;16;0;16;A
1;2;1712820106;ATSH202;1;14;14;0;14;A
1;1;1712820107;ATSH202;1;11;11;0;11;A
1;2;1712820108;ATSH202;1;13;13;0;13;A
1;2;1712820109;ATSH202;1;13;13;0;13;A
1;2;1712820110;ATSH202;1;13;13;0;13;A
1;1;1712820111;ATSH202;1;17;17;0;17;A
1;2;1712820112;ATSH202;1;15;15;0;15;A
1;2;1712820113;ATSH202;1;16;16;0;16;A
1;2;1712820114;ATSH202;1;14;14;0;14;A
1;1;1712820115;ATSH202;1;17;17;0;17;A
1;2;1712820116;ATSH202;1;12;12;0;12;A
1;2;1712820117;ATSH202;1;13;13;0;13;A
1;2;1712820118;ATSH202;1;15;15;0;15;A
1;2;1712820119;ATSH202;1;15;15;0;15;A
1;2;1712820120;ATSH202;1;13;13;0;13;A
1;2;1712820121;ATSH202;1;11;11;0;11;A
1;2;1712820122;ATSH202;1;14;14;0;14;A
1;2;1712820123;ATSH202;1;0;0;0;0;A
1;2;1712820124;ATSH202;1;0;0;0;0;A
1;2;1712820125;ATSH202;1;12;12;0;12;A
1;2;1712820126;ATSH202;1;6;6;0;6;A
1;2;1712820127;ATSH202;1;7;7;0;7;A
1;2;1712820128;ATSH202;1;14;14;0;14;A
1;2;1712820129;ATSH202;1;0;0;0;0;A
1;1;1712820130;ATSH202;1;0;0;0;0;A
1;1;1712810101;IGA101;1;11;11;0;11;A
1;1;1712810102;IGA101;1;12;12;0;12;A
1;1;1712810103;IGA101;1;13;13;0;13;A
1;1;1712810104;IGA101;1;14;14;0;14;A
1;1;1712810105;IGA101;1;11;11;0;11;A
1;1;1712810106;IGA101;1;11;11;0;11;A
1;1;1712810107;IGA101;1;13;13;0;13;A
1;1;1712810108;IGA101;1;16;16;0;16;A
1;1;1712810109;IGA101;1;15;15;0;15;A
1;1;1712810110;IGA101;1;11;11;0;11;A
1;1;1712810111;IGA101;1;11;11;0;11;A
1;1;1712810112;IGA101;1;12;12;0;12;A
1;2;1712810113;IGA101;1;14;14;0;14;A
1;1;1712810114;IGA101;1;11;11;0;11;A
1;1;1712810115;IGA101;1;13;13;0;13;A
1;2;1712810116;IGA101;1;7;7;0;7;A
1;1;1712810117;IGA101;1;13;13;0;13;A
1;1;1712810118;IGA101;1;11;11;0;11;A
1;1;1712810119;IGA101;1;12;12;0;12;A
1;1;1712810120;IGA101;1;12;12;0;12;A
1;2;1712810121;IGA101;1;12;12;0;12;A
1;1;1712810122;IGA101;1;14;14;0;14;A
1;1;1712810123;IGA101;1;11;11;0;11;A
1;2;1712810124;IGA101;1;14;14;0;14;A
1;1;1712810125;IGA101;1;9;9;0;9;A
1;2;1712810126;IGA101;1;0;0;0;0;A
1;1;1712810127;IGA101;1;0;0;0;0;A
1;1;1712810128;IGA101;1;14;14;0;14;A
1;1;1712810129;IGA101;1;0;0;0;0;A
1;1;1712810130;IGA101;1;14;14;0;14;A
1;1;1712810101;IGA102;1;16;16;0;16;A
1;1;1712810102;IGA102;1;12;12;0;12;A
1;1;1712810103;IGA102;1;12;12;0;12;A
1;1;1712810104;IGA102;1;15;15;0;15;A
1;1;1712810105;IGA102;1;15;15;0;15;A
1;1;1712810106;IGA102;1;16;16;0;16;A
1;1;1712810107;IGA102;1;15;15;0;15;A
1;1;1712810108;IGA102;1;16;16;0;16;A
1;1;1712810109;IGA102;1;15;15;0;15;A
1;1;1712810110;IGA102;1;13;13;0;13;A
1;1;1712810111;IGA102;1;11;11;0;11;A
1;1;1712810112;IGA102;1;14;14;0;14;A
1;2;1712810113;IGA102;1;15;15;0;15;A
1;1;1712810114;IGA102;1;14;14;0;14;A
1;1;1712810115;IGA102;1;15;15;0;15;A
1;2;1712810116;IGA102;1;14;14;0;14;A
1;1;1712810117;IGA102;1;13;13;0;13;A
1;1;1712810118;IGA102;1;16;16;0;16;A
1;1;1712810119;IGA102;1;16;16;0;16;A
1;1;1712810120;IGA102;1;15;15;0;15;A
1;2;1712810121;IGA102;1;14;14;0;14;A
1;1;1712810122;IGA102;1;16;16;0;16;A
1;1;1712810123;IGA102;1;16;16;0;16;A
1;2;1712810124;IGA102;1;15;15;0;15;A
1;1;1712810125;IGA102;1;8;8;0;8;A
1;2;1712810126;IGA102;1;0;0;0;0;A
1;1;1712810127;IGA102;1;0;0;0;0;A
1;1;1712810128;IGA102;1;15;15;0;15;A
1;1;1712810129;IGA102;1;8;8;0;8;A
1;1;1712810130;IGA102;1;15;15;0;15;A
1;1;1712810101;IGA103;1;13;13;0;13;A
1;1;1712810102;IGA103;1;13;13;0;13;A
1;1;1712810104;IGA103;1;15;15;0;15;A
1;1;1712810105;IGA103;1;13;13;0;13;A
1;1;1712810106;IGA103;1;13;13;0;13;A
1;1;1712810107;IGA103;1;13;13;0;13;A
1;1;1712810108;IGA103;1;14;14;0;14;A
1;1;1712810109;IGA103;1;13;13;0;13;A
1;1;1712810110;IGA103;1;12;12;0;12;A
1;1;1712810111;IGA103;1;13;13;0;13;A
1;1;1712810112;IGA103;1;13;13;0;13;A
1;2;1712810113;IGA103;1;14;14;0;14;A
1;1;1712810114;IGA103;1;13;13;0;13;A
1;1;1712810115;IGA103;1;13;13;0;13;A
1;2;1712810116;IGA103;1;13;13;0;13;A
1;1;1712810117;IGA103;1;15;15;0;15;A
1;1;1712810118;IGA103;1;13;13;0;13;A
1;1;1712810119;IGA103;1;13;13;0;13;A
1;1;1712810120;IGA103;1;13;13;0;13;A
1;2;1712810121;IGA103;1;13;13;0;13;A
1;1;1712810122;IGA103;1;15;15;0;15;A
1;1;1712810123;IGA103;1;13;13;0;13;A
1;2;1712810124;IGA103;1;13;13;0;13;A
1;1;1712810125;IGA103;1;12;12;0;12;A
1;2;1712810126;IGA103;1;0;0;0;0;A
1;1;1712810127;IGA103;1;0;0;0;0;A
1;1;1712810128;IGA103;1;13;13;0;13;A
1;1;1712810129;IGA103;1;12;12;0;12;A
1;1;1712810130;IGA103;1;14;14;0;14;A
1;1;1712810101;IGA104;1;13;13;0;13;A
1;1;1712810102;IGA104;1;13;13;0;13;A
1;1;1712810103;IGA104;1;15;15;0;15;A
1;1;1712810104;IGA104;1;15;15;0;15;A
1;1;1712810105;IGA104;1;12;12;0;12;A
1;1;1712810106;IGA104;1;13;13;0;13;A
1;1;1712810107;IGA104;1;13;13;0;13;A
1;1;1712810108;IGA104;1;15;15;0;15;A
1;1;1712810109;IGA104;1;13;13;0;13;A
1;1;1712810110;IGA104;1;12;12;0;12;A
1;1;1712810111;IGA104;1;13;13;0;13;A
1;1;1712810112;IGA104;1;14;14;0;14;A
1;2;1712810113;IGA104;1;14;14;0;14;A
1;1;1712810114;IGA104;1;13;13;0;13;A
1;1;1712810115;IGA104;1;13;13;0;13;A
1;2;1712810116;IGA104;1;13;13;0;13;A
1;1;1712810117;IGA104;1;14;14;0;14;A
1;1;1712810118;IGA104;1;13;13;0;13;A
1;1;1712810119;IGA104;1;14;14;0;14;A
1;1;1712810120;IGA104;1;14;14;0;14;A
1;2;1712810121;IGA104;1;13;13;0;13;A
1;1;1712810122;IGA104;1;14;14;0;14;A
1;1;1712810123;IGA104;1;14;14;0;14;A
1;2;1712810124;IGA104;1;14;14;0;14;A
1;1;1712810125;IGA104;1;13;13;0;13;A
1;2;1712810126;IGA104;1;0;0;0;0;A
1;1;1712810127;IGA104;1;0;0;0;0;A
1;1;1712810128;IGA104;1;12;12;0;12;A
1;1;1712810129;IGA104;1;0;0;0;0;A
1;1;1712810130;IGA104;1;15;15;0;15;A
1;1;1712810101;IGA105;1;14;14;0;14;A
1;1;1712810102;IGA105;1;13;13;0;13;A
1;1;1712810103;IGA105;1;12;12;0;12;A
1;1;1712810104;IGA105;1;14;14;0;14;A
1;1;1712810105;IGA105;1;15;15;0;15;A
1;1;1712810106;IGA105;1;15;15;0;15;A
1;1;1712810107;IGA105;1;16;16;0;16;A
1;1;1712810108;IGA105;1;17;17;0;17;A
1;1;1712810109;IGA105;1;13;13;0;13;A
1;1;1712810110;IGA105;1;13;13;0;13;A
1;1;1712810111;IGA105;1;14;14;0;14;A
1;1;1712810112;IGA105;1;12;12;0;12;A
1;2;1712810113;IGA105;1;15;15;0;15;A
1;1;1712810114;IGA105;1;14;14;0;14;A
1;1;1712810115;IGA105;1;16;16;0;16;A
1;2;1712810116;IGA105;1;13;13;0;13;A
1;1;1712810117;IGA105;1;13;13;0;13;A
1;1;1712810118;IGA105;1;14;14;0;14;A
1;1;1712810119;IGA105;1;18;18;0;18;A
1;1;1712810120;IGA105;1;14;14;0;14;A
1;2;1712810121;IGA105;1;15;15;0;15;A
1;1;1712810122;IGA105;1;17;17;0;17;A
1;1;1712810123;IGA105;1;13;13;0;13;A
1;2;1712810124;IGA105;1;15;15;0;15;A
1;1;1712810125;IGA105;1;13;13;0;13;A
1;2;1712810126;IGA105;1;0;0;0;0;A
1;1;1712810127;IGA105;1;0;0;0;0;A
1;1;1712810128;IGA105;1;14;14;0;14;A
1;1;1712810129;IGA105;1;8;8;0;8;A
1;1;1712810130;IGA105;1;16;16;0;16;A
1;1;1712810101;IGA106;1;13;13;0;13;A
1;1;1712810102;IGA106;1;12;12;0;12;A
1;1;1712810103;IGA106;1;12;12;0;12;A
1;1;1712810104;IGA106;1;13;13;0;13;A
1;1;1712810105;IGA106;1;12;12;0;12;A
1;1;1712810106;IGA106;1;12;12;0;12;A
1;1;1712810107;IGA106;1;12;12;0;12;A
1;1;1712810108;IGA106;1;13;13;0;13;A
1;1;1712810109;IGA106;1;12;12;0;12;A
1;1;1712810110;IGA106;1;12;12;0;12;A
1;1;1712810111;IGA106;1;13;13;0;13;A
1;1;1712810112;IGA106;1;12;12;0;12;A
1;2;1712810113;IGA106;1;14;14;0;14;A
1;1;1712810114;IGA106;1;13;13;0;13;A
1;1;1712810115;IGA106;1;12;12;0;12;A
1;2;1712810116;IGA106;1;12;12;0;12;A
1;1;1712810117;IGA106;1;13;13;0;13;A
1;1;1712810118;IGA106;1;12;12;0;12;A
1;1;1712810119;IGA106;1;13;13;0;13;A
